file_name,mean_diameter [μl]
GMM250,4.89
GMM251,4.98
GMM252,5.17
GMM253,5.11
GMM254,5.1
GMM255,4.96
GMM256,4.93
GMM257,4.87
GMM258,4.82
GMM260,4.93
GMM261,5.01
GMM262,5.15
GMM263,5.12
GMM264,5.09
GMM265,5.0
GMM266,5.01
GMM267,4.9
GMM268,4.87
GMM350,4.83
GMM351,4.73
GMM352,4.76
GMM353,4.8
GMM354,4.76
GMM355,4.73
GMM356,4.82
GMM357,4.7
GMM358,4.67
